Sector Name,Sector ID,Site Name,Lat,Lon,Site ID,CA Configuration,BBH Avg Throughput
Avissawella-1_1,COL002_1,Avissawella-1,6.956322,80.213559,COL002,3CC available,18
Avissawella-1_2,COL002_2,Avissawella-1,6.956322,80.213559,COL002,3CC available,20.67451719
Avissawella-1_3,COL002_3,Avissawella-1,6.956322,80.213559,COL002,3CC available,18.9202848
Battaramulla-1_1,COL005_1,Battaramulla-1,6.909661,79.924778,COL005,3CC available,18.07732823
Battaramulla-1_2,COL005_2,Battaramulla-1,6.909661,79.924778,COL005,2CC available,21.31113271
Battaramulla-1_3,COL005_3,Battaramulla-1,6.909661,79.924778,COL005,3CC available,19.44892886
Dehiwala-1_1,COL007_1,Dehiwala-1,6.850461,79.871328,COL007,3CC available,19.63756959
Dehiwala-1_2,COL007_2,Dehiwala-1,6.850461,79.871328,COL007,3CC available,20.43958175
Dehiwala-1_3,COL007_3,Dehiwala-1,6.850461,79.871328,COL007,3CC available,20.33051423
Col11_FortStation-1_1,COL009_1,Col11_FortStation-1,6.934387,79.850705,COL009,2CC available,18.88883988
Col11_FortStation-1_2,COL009_2,Col11_FortStation-1,6.934387,79.850705,COL009,3CC available,19.53319948
Col11_FortStation-1_3,COL009_3,Col11_FortStation-1,6.934387,79.850705,COL009,2CC available,21.60821651
Col3_RamadaHotel-1_1,COL010_1,Col3_RamadaHotel-1,6.921065,79.847567,COL010,3CC available,22.19947111
Col3_RamadaHotel-1_2,COL010_2,Col3_RamadaHotel-1,6.921065,79.847567,COL010,3CC available,19.09110258
Col3_RamadaHotel-1_3,COL010_3,Col3_RamadaHotel-1,6.921065,79.847567,COL010,3CC available,21.7540541
Homagama-1_1,COL012_1,Homagama-1,6.849938,79.996283,COL012,3CC available,19.27800651
Homagama-1_2,COL012_2,Homagama-1,6.849938,79.996283,COL012,3CC available,18.15837517
Homagama-1_3,COL012_3,Homagama-1,6.849938,79.996283,COL012,3CC available,20.17045184
Col6_Kirulapona-3_1,COL013_1,Col6_Kirulapona-3,6.882751,79.869277,COL013,2CC available,16.78232683
Col6_Kirulapona-3_2,COL013_2,Col6_Kirulapona-3,6.882751,79.869277,COL013,3CC available,18.14202859
Col6_Kirulapona-3_3,COL013_3,Col6_Kirulapona-3,6.882751,79.869277,COL013,3CC available,18.62169871
Col3_Kollupitiya-1_1,COL014_1,Col3_Kollupitiya-1,6.909422,79.852713,COL014,No CA configured,33
Col3_Kollupitiya-1_2,COL014_2,Col3_Kollupitiya-1,6.909422,79.852713,COL014,2CC available,30.9091289
Col3_Kollupitiya-1_3,COL014_3,Col3_Kollupitiya-1,6.909422,79.852713,COL014,2CC available,23.44969252
Col13_Kotahena-1_1,COL015_1,Col13_Kotahena-1,6.947528,79.861321,COL015,2CC available,21.89294126
Col13_Kotahena-1_2,COL015_2,Col13_Kotahena-1,6.947528,79.861321,COL015,2CC available,20.67505654
Col13_Kotahena-1_3,COL015_3,Col13_Kotahena-1,6.947528,79.861321,COL015,2CC available,20.02578635
Kottawa-1_1,COL016_1,Kottawa-1,6.82407,79.96861,COL016,2CC available,19.08147307
Kottawa-1_2,COL016_2,Kottawa-1,6.82407,79.96861,COL016,3CC available,18
Kottawa-1_3,COL016_3,Kottawa-1,6.82407,79.96861,COL016,3CC available,18.56432225
Malabe-1_1,COL018_1,Malabe-1,6.908017,79.966901,COL018,3CC available,19.32324798
Malabe-1_2,COL018_2,Malabe-1,6.908017,79.966901,COL018,3CC available,18.90083343
Malabe-1_3,COL018_3,Malabe-1,6.908017,79.966901,COL018,3CC available,17.33484115
Moratuwa-1_1,COL021_1,Moratuwa-1,6.788196,79.887659,COL021,2CC available,16.67853141
Moratuwa-1_2,COL021_2,Moratuwa-1,6.788196,79.887659,COL021,2CC available,18
Moratuwa-1_3,COL021_3,Moratuwa-1,6.788196,79.887659,COL021,2CC available,15.75
MtLavinia-1_1,COL022_1,MtLavinia-1,6.834241,79.867828,COL022,No CA configured,19
MtLavinia-1_2,COL022_2,MtLavinia-1,6.834241,79.867828,COL022,3CC available,19.42541306
MtLavinia-1_3,COL022_3,MtLavinia-1,6.834241,79.867828,COL022,No CA configured,27
Narahenpita-1_1,COL023_1,Narahenpita-1,6.892336,79.876412,COL023,3CC available,21.90531768
Narahenpita-1_2,COL023_2,Narahenpita-1,6.892336,79.876412,COL023,2CC available,18.67377984
Narahenpita-1_3,COL023_3,Narahenpita-1,6.892336,79.876412,COL023,2CC available,21.13051913
Col7_NCC-1_1,COL024_1,Col7_NCC-1,6.907198,79.867433,COL024,3CC available,29.94906872
Col7_NCC-1_2,COL024_2,Col7_NCC-1,6.907198,79.867433,COL024,3CC available,22.03168676
Col7_NCC-1_3,COL024_3,Col7_NCC-1,6.907198,79.867433,COL024,3CC available,26.64276524
Nugegoda-1_1,COL025_1,Nugegoda-1,6.876722,79.900861,COL025,2CC available,22.59607533
Nugegoda-1_2,COL025_2,Nugegoda-1,6.876722,79.900861,COL025,2CC available,19.61588833
Nugegoda-1_3,COL025_3,Nugegoda-1,6.876722,79.900861,COL025,2CC available,21.5547774
Col12_Pettah-1_1,COL026_1,Col12_Pettah-1,6.939816,79.856303,COL026,3CC available,21.04268062
Col12_Pettah-1_2,COL026_2,Col12_Pettah-1,6.939816,79.856303,COL026,3CC available,19.28984161
Col12_Pettah-1_3,COL026_3,Col12_Pettah-1,6.939816,79.856303,COL026,3CC available,18.75284312
Rajagiriya-1_1,COL027_1,Rajagiriya-1,6.909733,79.896474,COL027,2CC available,19.23720546
Rajagiriya-1_2,COL027_2,Rajagiriya-1,6.909733,79.896474,COL027,3CC available,18.67208871
Rajagiriya-1_3,COL027_3,Rajagiriya-1,6.909733,79.896474,COL027,3CC available,18.49348615
Ratmalana-1_1,COL028_1,Ratmalana-1,6.821196,79.889333,COL028,3CC available,20.63521453
Ratmalana-1_2,COL028_2,Ratmalana-1,6.821196,79.889333,COL028,3CC available,19.20842407
Ratmalana-1_3,COL028_3,Ratmalana-1,6.821196,79.889333,COL028,3CC available,19.92847944
SavoyCinema-1_1,COL029_1,SavoyCinema-1,6.878682,79.862319,COL029,2CC available,27
SavoyCinema-1_2,COL029_2,SavoyCinema-1,6.878682,79.862319,COL029,2CC available,21.30707088
SavoyCinema-1_3,COL029_3,SavoyCinema-1,6.878682,79.862319,COL029,2CC available,27
Talawathugoda-1_1,COL030_1,Talawathugoda-1,6.878832,79.940375,COL030,No CA configured,19
Talawathugoda-1_2,COL030_2,Talawathugoda-1,6.878832,79.940375,COL030,2CC available,21.912355
Talawathugoda-1_3,COL030_3,Talawathugoda-1,6.878832,79.940375,COL030,3CC available,19.31036406
Col2_UnionPl_Access-1_1,COL032_1,Col2_UnionPl_Access-1,6.920243,79.85733,COL032,2CC available,21.3294951
Col2_UnionPl_Access-1_2,COL032_2,Col2_UnionPl_Access-1,6.920243,79.85733,COL032,2CC available,18.24108309
Col2_UnionPl_Access-1_3,COL032_3,Col2_UnionPl_Access-1,6.920243,79.85733,COL032,3CC available,20.26232424
Wellampitiya-1_1,COL033_1,Wellampitiya-1,6.935943,79.895323,COL033,3CC available,18.481972
Wellampitiya-1_2,COL033_2,Wellampitiya-1,6.935943,79.895323,COL033,3CC available,18.93906854
Wellampitiya-1_3,COL033_3,Wellampitiya-1,6.935943,79.895323,COL033,2CC available,19.95559859
Piliyandala-1_1,COL034_1,Piliyandala-1,6.802536,79.920993,COL034,3CC available,19.26694352
Piliyandala-1_2,COL034_2,Piliyandala-1,6.802536,79.920993,COL034,3CC available,19.31490218
Piliyandala-1_3,COL034_3,Piliyandala-1,6.802536,79.920993,COL034,3CC available,20.85115386
Kotikawatta-1_1,COL035_1,Kotikawatta-1,6.935433,79.914193,COL035,3CC available,15.69175623
Kotikawatta-1_2,COL035_2,Kotikawatta-1,6.935433,79.914193,COL035,3CC available,15.70695831
Kotikawatta-1_3,COL035_3,Kotikawatta-1,6.935433,79.914193,COL035,3CC available,19.13910315
Koralawella-1_1,COL036_1,Koralawella-1,6.762636,79.889752,COL036,3CC available,20.87246663
Koralawella-1_2,COL036_2,Koralawella-1,6.762636,79.889752,COL036,3CC available,21.59372436
Koralawella-1_3,COL036_3,Koralawella-1,6.762636,79.889752,COL036,3CC available,20.69806003
Col4_Milagiriya-1_1,COL037_1,Col4_Milagiriya-1,6.886052,79.857661,COL037,2CC available,21.53620133
Col4_Milagiriya-1_2,COL037_2,Col4_Milagiriya-1,6.886052,79.857661,COL037,3CC available,21.04892332
Col4_Milagiriya-1_3,COL037_3,Col4_Milagiriya-1,6.886052,79.857661,COL037,3CC available,20.85108341
Col4_Milagiriya-1_4,COL037_4,Col4_Milagiriya-1,6.886052,79.857661,COL037,2CC available,26.58411331
Col4_Milagiriya-1_5,COL037_5,Col4_Milagiriya-1,6.886052,79.857661,COL037,2CC available,29.09925465
Koratota-1_1,COL042_1,Koratota-1,6.911298,80.006219,COL042,3CC available,28.81815082
Koratota-1_2,COL042_2,Koratota-1,6.911298,80.006219,COL042,3CC available,17.50373095
Koratota-1_3,COL042_3,Koratota-1,6.911298,80.006219,COL042,3CC available,18.83596603
Col3_Durdans-1_1,COL043_1,Col3_Durdans-1,6.903221,79.857015,COL043,No CA configured,21
Col3_Durdans-1_2,COL043_2,Col3_Durdans-1,6.903221,79.857015,COL043,2CC available,27.79741108
Col3_Durdans-1_3,COL043_3,Col3_Durdans-1,6.903221,79.857015,COL043,No CA configured,21
Col10_Panchikawatte-1_1,COL044_1,Col10_Panchikawatte-1,6.930513,79.864807,COL044,No CA configured,27
Col10_Panchikawatte-1_2,COL044_2,Col10_Panchikawatte-1,6.930513,79.864807,COL044,2CC available,19.183247
Col10_Panchikawatte-1_3,COL044_3,Col10_Panchikawatte-1,6.930513,79.864807,COL044,2CC available,19.06937658
Gangodawila-1_1,COL045_1,Gangodawila-1,6.858874,79.907192,COL045,2CC available,18.68044688
Gangodawila-1_2,COL045_2,Gangodawila-1,6.858874,79.907192,COL045,2CC available,16.74116236
Gangodawila-1_3,COL045_3,Gangodawila-1,6.858874,79.907192,COL045,3CC available,18.30944045
Katubedda-1_1,COL046_1,Katubedda-1,6.798297,79.888364,COL046,3CC available,18
Katubedda-1_2,COL046_2,Katubedda-1,6.798297,79.888364,COL046,2CC available,19.41250703
Katubedda-1_3,COL046_3,Katubedda-1,6.798297,79.888364,COL046,3CC available,19.1905746
BattaramullaTown-1_1,COL047_1,BattaramullaTown-1,6.903055,79.921121,COL047,2CC available,17.35368485
BattaramullaTown-1_2,COL047_2,BattaramullaTown-1,6.903055,79.921121,COL047,No CA configured,23
BattaramullaTown-1_3,COL047_3,BattaramullaTown-1,6.903055,79.921121,COL047,2CC available,16.87200037
Col1_KeyzerStreet-1_1,COL048_1,Col1_KeyzerStreet-1,6.937276,79.851966,COL048,No CA configured,33
Col1_KeyzerStreet-1_2,COL048_2,Col1_KeyzerStreet-1,6.937276,79.851966,COL048,2CC available,30.77977484
Col1_KeyzerStreet-1_3,COL048_3,Col1_KeyzerStreet-1,6.937276,79.851966,COL048,2CC available,30
Col5_Thimbirigasyaya-1_1,COL049_1,Col5_Thimbirigasyaya-1,6.890981,79.866399,COL049,3CC available,23.032866
Col5_Thimbirigasyaya-1_2,COL049_2,Col5_Thimbirigasyaya-1,6.890981,79.866399,COL049,3CC available,25.01098697
Col5_Thimbirigasyaya-1_3,COL049_3,Col5_Thimbirigasyaya-1,6.890981,79.866399,COL049,2CC available,22.10146139
Col4_HouseofFashion-1_1,COL050_1,Col4_HouseofFashion-1,6.890114,79.858909,COL050,No CA configured,33
Col4_HouseofFashion-1_2,COL050_2,Col4_HouseofFashion-1,6.890114,79.858909,COL050,2CC available,25.76018375
Col4_HouseofFashion-1_3,COL050_3,Col4_HouseofFashion-1,6.890114,79.858909,COL050,2CC available,27.95049654
Orugodawatta-1_1,COL053_1,Orugodawatta-1,6.94585,79.878008,COL053,3CC available,17.06989019
Orugodawatta-1_2,COL053_2,Orugodawatta-1,6.94585,79.878008,COL053,3CC available,16.60411528
Orugodawatta-1_3,COL053_3,Orugodawatta-1,6.94585,79.878008,COL053,3CC available,16.89071405
Col15_ElieHouse-1_1,COL055_1,Col15_ElieHouse-1,6.959352,79.864419,COL055,2CC available,19.5
Col15_ElieHouse-1_2,COL055_2,Col15_ElieHouse-1,6.959352,79.864419,COL055,2CC available,19.5
Col15_ElieHouse-1_3,COL055_3,Col15_ElieHouse-1,6.959352,79.864419,COL055,2CC available,20.55577305
Col8_Elvitigala-1_1,COL056_1,Col8_Elvitigala-1,6.905342,79.877133,COL056,No CA configured,30
Col8_Elvitigala-1_2,COL056_2,Col8_Elvitigala-1,6.905342,79.877133,COL056,2CC available,22.5
Col8_Elvitigala-1_3,COL056_3,Col8_Elvitigala-1,6.905342,79.877133,COL056,No CA configured,33
Attidiya-1_1,COL057_1,Attidiya-1,6.840384,79.88471,COL057,3CC available,20.53525946
Attidiya-1_2,COL057_2,Attidiya-1,6.840384,79.88471,COL057,2CC available,18.90835498
Attidiya-1_3,COL057_3,Attidiya-1,6.840384,79.88471,COL057,3CC available,20.05553216
